,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
279,Urengoy,100,RU,1569891508,97,65.96,78.37,274.8,4.94
280,Santiago,99,PH,1569891004,73,16.69,121.54,299.43,0.67
281,Blairmore,75,CA,1569891511,85,49.61,-114.44,276.15,4.1
282,Sudak,21,UA,1569891513,67,44.85,34.97,288.71,4.59
283,Nara,40,JP,1569891514,69,34.68,135.8,301.48,3.6
284,Cherskiy,100,RU,1569891515,93,68.75,161.3,272.03,6.2
285,Alanya,0,TR,1569891500,93,36.55,32.0,291.15,2.1
286,Sulphur,1,US,1569891518,78,30.24,-93.38,302.15,2.1
287,Sur,0,OM,1569891519,59,22.57,59.53,301.88,5.14
288,Talnakh,40,RU,1569891521,100,69.49,88.39,270.15,3.0
289,Yenagoa,88,NG,1569891522,93,4.92,6.26,296.9,2.03
290,Hualmay,48,PE,1569891523,91,-11.1,-77.61,289.88,6.38
291,Bartica,20,GY,1569891525,94,6.41,-58.62,299.15,3.1
292,Petropavl,77,KZ,1569891526,88,54.87,69.13,275.0,3.37
293,Longyearbyen,0,NO,1569891527,63,78.22,15.63,272.15,8.2
294,Carauari,100,BR,1569891529,96,-4.88,-66.9,296.99,1.35
295,Saint-Marc-des-Carrieres,90,CA,1569891530,66,46.68,-72.05,284.26,2.1
296,Lensk,92,RU,1569891531,82,60.71,114.91,271.82,3.56
297,Sao Joao do Paraiso,75,BR,1569891532,82,-15.31,-42.01,292.7,3.82
298,Honiara,90,SB,1569891534,79,-9.43,159.96,302.15,3.1
299,Kruisfontein,84,ZA,1569891535,87,-34.0,24.73,283.73,4.11
300,Chapayeve,90,UA,1569891537,100,49.37,35.87,287.15,5.0
301,Mehriz,20,IR,1569891538,20,31.58,54.44,296.15,2.1
302,Vaitape,31,PF,1569891539,78,-16.52,-151.75,298.7,8.27
303,Mullheim,0,DE,1569891541,93,47.81,7.63,285.37,2.1
304,Puerto del Rosario,92,ES,1569891542,88,28.5,-13.86,296.15,7.2
305,Anori,59,BR,1569891543,47,-3.74,-61.66,303.0,2.11
306,Nelidovo,100,RU,1569891545,97,56.22,32.78,284.97,3.63
307,Avera,40,US,1569891529,94,33.19,-82.53,302.59,1.31
308,Dunmore East,46,IE,1569891547,99,52.15,-6.99,288.71,1.81
309,Mashhad,0,IR,1569891549,54,36.3,59.61,286.15,2.14
310,Narsaq,90,GL,1569891550,25,60.91,-46.05,285.15,9.3
311,Dubovskoye,100,RU,1569891552,76,47.41,42.76,287.84,3.76
312,Satellite Beach,1,US,1569891553,83,28.18,-80.59,301.15,6.7
313,Vestmannaeyjar,40,IS,1569891554,86,63.44,-20.27,282.07,6.44
314,La Ronge,75,CA,1569891556,69,55.1,-105.3,276.15,2.1
315,Talara,52,PE,1569891557,91,-4.58,-81.27,291.83,9.87
316,Karratha,0,AU,1569891558,14,-20.74,116.85,303.58,3.78
317,Turan,15,RU,1569891559,87,52.15,93.92,267.15,0.96
318,Hofn,0,IS,1569891561,73,64.25,-15.21,269.3,3.72
319,Yulara,35,AU,1569891562,12,-25.24,130.99,303.15,5.1
320,Armidale,43,AU,1569891563,61,-30.51,151.67,283.71,4.02
321,Dustlik,99,UZ,1569891565,48,40.53,68.03,284.47,2.86
322,Am Timan,90,TD,1569891566,81,11.04,20.28,296.32,1.39
323,Yining,0,CN,1569891567,63,29.04,114.56,294.03,0.52
324,Timbuktu,0,ML,1569891569,12,16.77,-3.01,308.24,2.07
325,Chokurdakh,88,RU,1569891532,86,70.62,147.9,268.82,5.89
326,Pimentel,28,BR,1569891571,71,-3.7,-45.5,299.81,1.81
327,Upernavik,52,GL,1569891572,72,72.79,-56.15,277.35,3.22
328,Abu Dhabi,0,AE,1569891543,79,24.47,54.37,304.15,0.5
329,Nianzishan,0,CN,1569891575,39,47.51,122.88,287.04,0.45
330,Ola,100,RU,1569891576,51,59.58,151.3,274.38,1.78
331,Uvat,100,RU,1569891578,85,59.14,68.9,276.75,3.76
332,Saint-Pierre,35,FR,1569891579,93,48.95,4.24,288.15,5.7
333,Tezu,92,IN,1569891580,92,27.93,96.16,293.31,0.65
334,Ukiah,20,US,1569891582,33,39.15,-123.21,291.48,3.1
335,Mananjary,25,MG,1569891583,47,-19.16,46.8,293.14,1.14
336,Gondanglegi,81,ID,1569891585,75,-7.75,112.01,296.6,4.26
337,Tazovskiy,100,RU,1569891586,97,67.47,78.7,274.39,5.76
338,Corrales,92,CO,1569891587,95,5.83,-72.84,282.09,1.56
339,Buala,91,SB,1569891588,80,-8.15,159.59,300.39,3.91
340,Kichera,65,RU,1569891590,77,55.93,110.1,273.45,1.85
341,Pacific Grove,0,US,1569891591,39,36.62,-121.92,292.59,5.7
342,Chimoio,40,MZ,1569891592,93,-19.11,33.48,292.15,1.05
343,Manastiur,0,RO,1569891594,55,45.82,22.07,290.93,2.6
344,Medea,20,DZ,1569891596,93,36.27,2.77,289.15,1.0
345,Mackenzie,40,CA,1569891597,37,55.34,-123.09,284.15,2.6
346,Barsovo,90,RU,1569891599,100,61.17,73.17,279.15,4.0
347,Caucaia,0,BR,1569891600,74,-3.73,-38.66,299.15,3.1
348,Prince Rupert,1,CA,1569891423,62,54.32,-130.32,287.15,1.0
349,Gravdal,75,NO,1569891604,93,59.79,5.78,280.37,12.3
350,Zhanaozen,0,KZ,1569891606,48,43.35,52.85,286.43,5.28
351,Sao Joao da Barra,100,BR,1569891607,93,-21.64,-41.05,291.85,2.47
352,Kavieng,96,PG,1569891608,68,-2.57,150.8,302.0,3.94
353,Port Blair,2,IN,1569891610,79,11.67,92.75,300.6,2.37
354,Taoudenni,0,ML,1569891611,12,22.68,-3.98,306.89,5.08
355,Sfantu Gheorghe,0,RO,1569891612,77,44.65,26.83,290.37,3.6
356,Ponta Delgada,20,PT,1569891614,82,37.73,-25.67,294.82,1.5
357,Portland,90,US,1569891504,71,43.66,-70.25,285.37,1.5
358,Starozhilovo,100,RU,1569891616,99,54.23,39.91,286.48,2.24
359,Honggang,0,CN,1569891618,58,29.51,114.87,295.66,0.97
360,Kalvarija,70,LT,1569891619,80,54.41,23.23,282.52,9.35
361,Amursk,6,RU,1569891620,67,50.23,136.9,284.44,0.77
362,Port-Cartier,75,CA,1569891356,56,50.03,-66.88,279.26,3.1
363,Quatre Cocos,79,MU,1569891623,83,-20.21,57.76,295.93,1.34
364,Kamenka,83,MD,1569891625,78,48.03,28.7,284.82,1.79
365,Maracaibo,75,CO,1569891626,94,3.41,-75.78,294.15,2.1
366,Booue,68,GA,1569891628,98,-0.09,11.94,294.31,0.43
367,Moron,87,HT,1569891629,75,18.56,-74.26,300.9,2.52
368,San-Pedro,44,CI,1569891630,99,4.75,-6.64,295.74,1.1
369,Tavricheskoye,75,RU,1569891631,86,54.59,73.64,278.15,2.0
370,Russell,1,US,1569891633,58,38.9,-98.86,301.15,9.8
371,Bismarck,90,US,1569891635,93,46.81,-100.78,281.15,6.7
372,Lewistown,1,US,1569891636,78,40.39,-90.15,300.93,2.6
373,Rurrenabaque,99,BO,1569891638,79,-14.44,-67.53,295.16,2.16
374,Belomorsk,81,RU,1569891639,98,64.52,34.76,280.39,1.55
375,Gualaquiza,99,EC,1569891640,94,-3.4,-78.58,284.68,0.92
376,Ongandjera,0,NA,1569891642,35,-17.88,15.07,288.12,5.59
377,Naze,84,NG,1569891643,96,5.43,7.07,295.92,1.24
378,Codrington,90,AU,1569891644,60,-28.95,153.24,295.15,4.6
379,Marolambo,96,MG,1569891621,99,-20.05,48.13,292.06,1.09
380,Lubango,75,AO,1569891647,95,-14.92,13.49,288.25,0.44
381,Alugan,100,PH,1569891648,75,12.22,125.48,300.73,1.01
382,Oga,0,IT,1569891649,59,46.46,10.35,282.59,1.0
383,Kulhudhuffushi,100,MV,1569891651,71,6.62,73.07,300.49,0.37
384,Zeya,97,RU,1569891652,96,53.74,127.27,277.33,2.34
385,Luganville,75,VU,1569891653,78,-15.51,167.18,301.15,5.1
386,Deputatskiy,47,RU,1569891655,94,69.3,139.9,260.93,1.6
387,High Level,75,CA,1569891656,42,58.52,-117.13,281.15,3.1
388,Uttiramerur,40,IN,1569891657,94,12.62,79.76,299.15,0.99
389,Jumla,46,NP,1569891659,94,29.28,82.18,280.06,1.09
390,Khandyga,100,RU,1569891660,91,62.65,135.58,272.34,3.7
391,Arecibo,1,PR,1569891661,88,18.47,-66.72,299.82,1.5
392,Los Llanos de Aridane,2,ES,1569891512,83,28.66,-17.92,299.82,5.7
393,Barabash,90,RU,1569891664,82,43.19,131.5,290.15,3.0
394,Yabassi,75,CM,1569891665,100,4.46,9.97,297.15,0.66
395,Constantine,0,DZ,1569891667,76,36.36,6.61,287.15,1.0
396,Limbang,75,BN,1569891668,88,4.75,115.01,300.15,4.1
397,Northam,75,AU,1569891669,77,-31.65,116.67,290.15,2.6
398,Meulaboh,56,ID,1569891671,81,4.14,96.13,298.87,3.01
399,Lumberton,1,US,1569891672,74,30.27,-94.2,301.15,2.1
400,Chinhoyi,3,ZW,1569891673,25,-17.36,30.19,291.84,2.28
401,Soc Trang,75,VN,1569891675,88,9.6,105.98,301.15,1.5
402,Byron Bay,40,AU,1569891676,56,-28.65,153.62,295.93,8.2
403,Canutama,91,BR,1569891678,79,-6.53,-64.38,298.97,0.51
404,Sherlovaya Gora,65,RU,1569891680,72,50.53,116.31,284.27,7.22
405,Ketchikan,90,US,1569891681,62,55.34,-131.65,286.15,5.1
406,Saint-Gaudens,0,FR,1569891682,93,43.11,0.72,290.37,3.1
407,Lata,68,IN,1569891684,94,30.78,78.62,274.58,0.14
408,Richards Bay,100,ZA,1569891685,69,-28.77,32.06,291.92,8.96
409,York,90,US,1569891621,72,39.96,-76.73,293.71,3.13
410,Formosa,90,BR,1569891687,43,-15.55,-47.33,297.74,2.11
411,Ormara,27,PK,1569891689,84,25.21,64.64,299.57,4.04
412,Karasjok,100,NO,1569891690,75,69.47,25.52,279.15,12.3
413,Bandarbeyla,98,SO,1569891692,79,9.49,50.81,297.36,3.48
414,Havoysund,75,NO,1569891693,80,71.0,24.66,278.15,14.9
415,Si Sa Ket,20,TH,1569891694,100,15.12,104.33,300.37,1.5
416,Santa Cruz,96,BR,1569891696,80,-6.22,-36.02,294.03,5.55
417,Isla Aguada,20,MX,1569891697,74,18.78,-91.49,303.15,4.1
418,Tongchuan,100,CN,1569891536,73,34.9,108.95,294.15,5.0
419,Goshogawara,20,JP,1569891699,60,40.92,140.47,294.15,3.1
420,Elmira,90,US,1569891564,93,42.09,-76.81,290.15,2.36
421,Vallenar,0,CL,1569891702,83,-28.58,-70.76,282.84,0.39
422,Teeli,96,RU,1569891703,83,51.01,90.2,267.29,1.12
423,Shache,65,CN,1569891705,94,38.42,77.24,293.15,5.21
424,Arlit,86,NE,1569891706,14,18.74,7.39,306.59,6.78
425,Chancay,75,PE,1569891707,88,-11.56,-77.27,290.15,4.6
426,Linares,44,CL,1569891709,83,-35.85,-71.6,279.87,2.29
427,Tilichiki,76,RU,1569891710,76,60.47,166.1,279.76,3.49
428,Elizabeth City,1,US,1569891711,78,36.3,-76.22,295.37,3.1
429,Galveston,1,US,1569891713,78,40.58,-86.19,299.82,1.5
430,Formosa do Rio Preto,100,BR,1569891714,87,-11.04,-45.19,295.27,4.66
431,Okhotsk,65,RU,1569891715,38,59.36,143.24,278.22,2.51
432,Saint Anthony,90,US,1569891717,37,43.97,-111.68,281.15,2.6
433,Lagos,20,NG,1569891324,94,6.46,3.39,298.15,1.0
434,Shimoda,20,JP,1569891719,73,34.7,138.93,298.15,5.7
435,Oeiras do Para,95,BR,1569891721,67,-2.0,-49.85,300.31,2.04
436,Anacortes,1,US,1569891722,54,48.5,-122.62,287.59,0.59
437,Port Hardy,20,CA,1569891723,54,50.7,-127.42,286.15,1.0
438,Quang Ngai,42,VN,1569891725,84,15.12,108.8,296.29,0.71
439,Sao Felix do Xingu,70,BR,1569891486,85,-6.64,-51.99,297.39,0.52
440,Arzachena,0,IT,1569891727,88,41.08,9.39,294.15,4.6
441,Tual,51,ID,1569891728,86,-5.67,132.75,299.36,6.78
442,Oranjemund,0,ZA,1569891730,85,-28.55,16.43,286.96,9.21
443,Mayya,0,RU,1569891731,60,61.74,130.28,277.15,2.0
444,Isoka,51,ZM,1569891732,72,-10.15,32.64,292.59,1.51
445,Yablonovo,75,RU,1569891734,87,50.85,37.36,287.15,6.0
446,Airai,0,TL,1569891735,46,-8.93,125.41,301.65,0.88
447,Port Pirie,0,AU,1569891736,31,-33.18,138.01,296.15,4.1
448,Nelson Bay,75,AU,1569891738,59,-32.72,152.14,293.71,4.6
449,Sibolga,100,ID,1569891739,80,1.74,98.78,299.1,1.37
450,Hutchinson,1,US,1569891463,69,38.06,-97.93,301.48,8.2
451,Xinzhi,75,TW,1569891742,65,22.54,120.62,303.15,5.7
452,Jardim,19,BR,1569891743,39,-21.48,-56.15,302.65,2.99
453,Filottrano,0,IT,1569891745,72,43.44,13.35,293.71,2.1
454,Sehwan,0,PK,1569891746,83,26.43,67.86,299.15,3.96
455,Vostok,56,RU,1569891747,77,46.45,135.83,289.07,2.26
456,Port-Gentil,31,GA,1569891749,82,-0.72,8.78,298.07,6.43
457,Yanam,90,IN,1569891750,94,16.73,82.22,300.15,1.74
458,Sioux Lookout,90,CA,1569891536,100,50.1,-91.92,279.15,2.6
459,Mata,50,PT,1569891753,91,40.68,-7.46,290.93,1.79
460,Tsumeb,0,NA,1569891754,16,-19.25,17.72,288.58,10.55
461,Wukari,36,NG,1569891755,83,7.87,9.78,297.62,3.23
462,San Blas,90,MX,1569891757,100,21.54,-105.29,293.15,2.1
463,Lamar,1,US,1569891758,35,38.09,-102.62,304.15,13.9
464,Haines Junction,100,CA,1569891759,90,60.75,-137.51,278.98,1.84
465,Pemba,7,MZ,1569891761,88,-12.97,40.52,298.31,4.42
466,Sofia,20,BG,1569891762,87,42.7,23.32,289.82,2.1
467,North Bend,1,US,1569891763,66,43.41,-124.22,286.48,4.1
468,Ruidoso,75,US,1569891765,72,33.33,-105.67,302.15,5.1
469,Calama,0,CL,1569891767,38,-22.46,-68.93,288.15,9.8
470,Cabedelo,20,BR,1569891768,78,-6.97,-34.84,298.15,3.1
471,Abbeville,90,FR,1569891769,93,50.11,1.83,290.15,6.7
472,Laurens,1,US,1569891771,65,34.5,-82.02,300.15,5.88
473,Matara,17,BI,1569891772,84,-3.48,29.48,284.58,1.36
474,Saint Pete Beach,1,US,1569891773,65,27.73,-82.74,302.59,4.1
475,Beruwala,32,LK,1569891775,80,6.48,79.98,299.67,2.25
476,Iconha,99,BR,1569891776,93,-20.79,-40.81,292.77,3.18
477,Zlobin,20,HR,1569891778,93,45.29,14.65,294.26,1.0
478,Punahana,71,IN,1569891779,90,27.87,77.2,295.69,3.78
479,Shenjiamen,100,CN,1569891780,91,29.96,122.3,296.07,17.08
480,Evensk,95,RU,1569891782,82,61.92,159.24,273.56,4.3
481,Saldanha,33,PT,1569891783,86,41.42,-6.55,290.35,1.59
482,Bossangoa,100,CF,1569891784,98,6.5,17.45,294.01,1.92
483,Zalantun,9,CN,1569891786,69,48.0,122.72,288.07,0.58
484,Semey,40,KZ,1569891787,64,50.41,80.25,274.15,1.0
485,Chiang Klang,75,TH,1569891788,100,19.29,100.86,295.15,0.78
486,Kudahuvadhoo,100,MV,1569891790,79,2.67,72.89,299.5,3.89
487,Cockburn Town,78,TC,1569891791,73,21.46,-71.14,301.4,4.21
488,Broome,100,GB,1569891792,100,52.47,1.45,289.82,3.6
489,Sokoni,66,CD,1569891794,60,-12.89,28.78,294.26,1.34
490,Sabang,100,PH,1569891795,82,13.8,121.11,302.59,1.34
491,San Pedro,50,AR,1569891797,47,-33.68,-59.66,292.59,3.13
492,Ahipara,33,NZ,1569891798,62,-35.17,173.16,286.83,11.08
493,Thinadhoo,100,MV,1569891800,80,0.53,72.93,300.86,7.28
494,Te Anau,3,NZ,1569891801,60,-45.41,167.72,277.44,1.15
495,Klaksvik,100,FO,1569891803,81,62.23,-6.59,279.15,6.2
496,Carmen,20,PH,1569891804,70,7.36,125.71,303.15,1.5
497,Kainantu,98,PG,1569891805,89,-6.29,145.87,288.68,0.84
498,Lalmohan,94,BD,1569891807,86,22.34,90.74,298.5,1.82
499,Long Beach,1,US,1569891621,69,30.35,-89.15,302.15,1.39
500,Ancud,40,CL,1569891809,93,-41.87,-73.83,276.15,2.1
501,Nalut,0,LY,1569891811,62,31.86,10.98,294.62,4.35
502,Chilca,40,PE,1569891812,41,-13.22,-72.34,288.15,2.1
503,Gizo,40,IL,1569891813,78,31.8,34.94,298.15,0.5
504,Zalakomar,0,HU,1569891815,62,46.54,17.18,288.15,1.0
505,Nanae,20,JP,1569891816,56,41.94,140.7,294.15,2.6
506,Sundumbili,0,ZA,1569891818,82,-29.13,31.4,286.15,1.5
507,Camacha,40,PT,1569891819,73,33.08,-16.33,294.15,2.1
508,Naron,40,ES,1569891820,88,43.52,-8.15,292.59,4.1
509,Kuragino,84,RU,1569891822,78,53.89,92.68,272.38,1.25
510,Mabaruma,74,GY,1569891823,89,8.2,-59.78,298.4,1.78
511,Samarai,100,PG,1569891824,92,-10.62,150.67,298.54,3.08
512,Horsham,0,AU,1569891826,67,-36.71,142.2,285.57,3.73
513,Malinyi,21,TZ,1569891827,73,-8.94,36.14,297.86,1.42
514,Paslek,65,PL,1569891828,83,54.06,19.66,282.59,2.68
515,Kununurra,73,AU,1569891829,45,-15.77,128.74,304.15,3.1
516,Rafai,100,CF,1569891831,98,4.95,23.92,292.0,0.89
517,Kloulklubed,75,PW,1569891832,74,7.04,134.26,302.15,2.6
518,Terskaya,4,RU,1569891833,91,43.72,44.72,286.1,2.28
519,Adre,80,TD,1569891835,68,13.47,22.2,297.5,3.24
520,Pangnirtung,100,CA,1569891836,98,66.15,-65.72,272.84,1.08
521,Shunyi,0,CN,1569891838,73,40.13,116.65,298.71,1.0
522,Crisan,0,RO,1569891839,72,44.97,29.47,289.26,2.1
523,Wladyslawowo,20,PL,1569891568,71,54.79,18.4,283.15,5.7
524,General Roca,0,AR,1569891841,32,-39.03,-67.58,284.15,6.7
525,Mitu,0,IR,1569891843,63,36.2,46.09,281.52,1.15
526,Iquique,90,CL,1569891844,72,-20.22,-70.14,290.15,5.7
527,Cidreira,0,BR,1569891845,78,-30.17,-50.22,293.5,7.85
528,Izumo,75,JP,1569891607,78,35.37,132.75,298.15,5.7
529,Maceio,40,BR,1569891840,88,-9.67,-35.74,296.15,2.1
530,Rio Negrinho,1,BR,1569891849,98,-26.26,-49.52,293.71,2.24
531,Buraydah,0,SA,1569891851,39,26.33,43.97,300.15,2.27
532,Buzmeyin,40,TM,1569891852,48,38.05,58.21,289.15,2.1
533,Jurm,27,AF,1569891853,70,36.86,70.83,280.49,1.64
534,Awbari,0,LY,1569891855,32,26.59,12.77,294.34,1.26
535,Kahului,40,US,1569891856,62,20.89,-156.47,302.15,5.1
536,Pangkalanbuun,100,ID,1569891857,78,-2.68,111.62,298.95,1.96
537,Kumluca,0,TR,1569891859,83,36.37,30.29,286.79,1.47
538,Peniche,40,PT,1569891860,82,39.36,-9.38,292.15,3.1
539,Bima,51,ID,1569891861,62,-8.45,118.73,299.26,1.92
540,Tautira,20,PF,1569891863,61,-17.73,-149.15,301.15,3.6
541,Anajatuba,54,BR,1569891864,84,-3.26,-44.62,298.17,2.25
542,Praia da Vitoria,0,PT,1569891866,88,38.73,-27.07,292.15,1.37
543,Beringovskiy,75,RU,1569891867,78,63.05,179.32,280.4,4.77
544,Havre,90,US,1569891869,80,48.55,-109.68,274.15,4.6
545,Hammerfest,75,NO,1569891870,80,70.66,23.68,278.15,14.9
546,Kintinku,5,TZ,1569891871,82,-5.89,35.22,293.15,6.7
547,Polson,90,US,1569891873,41,47.69,-114.16,279.15,2.1
548,Hami,40,CN,1569891874,38,42.84,93.51,288.65,6.5
549,Tougan,55,BF,1569891876,56,13.07,-3.07,301.16,3.89
550,Coari,80,BR,1569891877,84,-4.09,-63.14,298.9,2.88
551,Iwaki,40,JP,1569891704,82,37.05,140.89,294.82,1.5
552,Lithakia,0,GR,1569891814,100,37.72,20.83,292.59,4.09
553,Altoona,90,US,1569891692,93,40.52,-78.39,292.04,3.1
554,Palmer,0,AU,1569891882,23,-34.85,139.16,296.15,7.2
555,Imbituba,75,BR,1569891884,83,-28.24,-48.67,294.15,6.2
556,Pareora,60,NZ,1569891885,58,-44.49,171.21,280.56,2.87
557,Valparaiso,1,US,1569891781,78,41.47,-87.06,301.15,4.39
558,Yuanping,2,CN,1569891888,70,38.72,112.71,287.36,2.02
